"icao","counts","latitude","longitude"
"enor",364,69.5468,30.8884
"enor",365,69.5462,30.8873
"enor",366,69.5426,30.8768
"enor",367,69.5424,30.8746
"enor",368,69.542,30.8719
"enor",369,69.5398,30.8682
"enor",370,69.5397,30.8677
"enor",371,69.54,30.8659
"enor",372,69.5399,30.865
"enor",373,69.5378,30.8623
"enor",374,69.5374,30.8612
"enor",375,69.5374,30.8604
"enor",376,69.537,30.8583
"enor",377,69.5367,30.853
"enor",378,69.5363,30.8514
"enor",379,69.5364,30.8487
"enor",380,69.5354,30.8449
"enor",381,69.5353,30.8416
"enor",382,69.535,30.8392
"enor",383,69.5342,30.8374
"enor",384,69.5339,30.8374
"enor",385,69.5338,30.8364
"enor",386,69.5332,30.8355
"enor",387,69.5314,30.8302
"enor",388,69.5313,30.8279
"enor",389,69.5309,30.827
"enor",390,69.531,30.8244
"enor",391,69.5313,30.8234
"enor",392,69.5312,30.8227
"enor",393,69.5307,30.823
"enor",394,69.5304,30.8227
"enor",395,69.5301,30.8213
"enor",396,69.5301,30.8202
"enor",397,69.5296,30.8193
"enor",398,69.5293,30.8181
"enor",399,69.5291,30.8177
"enor",400,69.5288,30.8181
"enor",401,69.5287,30.8175
"enor",402,69.5286,30.8164
"enor",403,69.5289,30.8151
"enor",404,69.5286,30.8121
"enor",405,69.5289,30.8083
"enor",406,69.5291,30.8056
"enor",407,69.5287,30.8044
"enor",408,69.5289,30.8024
"enor",409,69.53,30.7979
"enor",410,69.531,30.7958
"enor",411,69.5314,30.7943
"enor",412,69.5319,30.7898
"enor",413,69.5323,30.7874
"enor",414,69.532,30.783
"enor",415,69.5318,30.7822
"enor",416,69.5319,30.7769
"enor",417,69.5316,30.7731
"enor",418,69.5317,30.7707
"enor",419,69.5321,30.7683
"enor",420,69.5326,30.7631
"enor",421,69.5331,30.762
"enor",422,69.5335,30.7607
"enor",423,69.5335,30.76
"enor",424,69.5331,30.7572
"enor",425,69.5331,30.756
"enor",426,69.5333,30.7507
"enor",427,69.5332,30.7468
"enor",428,69.5331,30.746
"enor",429,69.5406,30.6642
"enor",430,69.5413,30.6185
"enor",431,69.5417,30.5832
"enor",432,69.5421,30.5661
"enor",433,69.5419,30.559
"enor",434,69.5414,30.55
"enor",435,69.5411,30.5334
"enor",436,69.5406,30.5251
"enor",437,69.5403,30.5155
"enor",438,69.5478,30.5076
"enor",439,69.5597,30.4815
"enor",440,69.5634,30.4741
"enor",441,69.5898,30.4178
"enor",442,69.6021,30.3815
"enor",443,69.6288,30.3036
"enor",444,69.653,30.2238
"enor",445,69.6692,30.1511
"enor",446,69.6637,30.1116
"enor",447,69.6581,30.0853
"enor",448,69.6428,30.091
"enor",449,69.6434,30.1373
"enor",450,69.6326,30.1452
"enor",451,69.6312,30.1455
"enor",452,69.6288,30.148
"enor",453,69.6245,30.1488
"enor",454,69.6205,30.1509
"enor",455,69.6186,30.1512
"enor",456,69.6174,30.1506
"enor",457,69.6154,30.1504
"enor",458,69.6128,30.1531
"enor",459,69.6115,30.1527
"enor",460,69.6105,30.1518
"enor",461,69.6088,30.1517
"enor",462,69.6079,30.1529
"enor",463,69.6077,30.1546
"enor",464,69.6068,30.157
"enor",465,69.6057,30.158
"enor",466,69.5992,30.1599
"enor",467,69.5963,30.162
"enor",468,69.5926,30.1655
"enor",469,69.589,30.171
"enor",470,69.5871,30.1771
"enor",471,69.5861,30.1791
"enor",472,69.5851,30.1799
"enor",473,69.5835,30.1799
"enor",474,69.5798,30.1784
"enor",475,69.5783,30.1791
"enor",476,69.5733,30.1844
"enor",477,69.5706,30.1867
"enor",478,69.5664,30.1881
"enor",479,69.5636,30.1877
"enor",480,69.5626,30.1866
"enor",481,69.5602,30.1822
"enor",482,69.5587,30.1809
"enor",483,69.5575,30.1807
"enor",484,69.5562,30.1813
"enor",485,69.5524,30.1853
"enor",486,69.5511,30.1857
"enor",487,69.5499,30.1853
"enor",488,69.5486,30.1843
"enor",489,69.5463,30.1812
"enor",490,69.545,30.1799
"enor",491,69.5397,30.1788
"enor",492,69.5384,30.1781
"enor",493,69.537,30.177
"enor",494,69.5346,30.1742
"enor",495,69.5327,30.1709
"enor",496,69.5333,30.1651
"enor",497,69.5334,30.1611
"enor",498,69.5326,30.1585
"enor",499,69.5313,30.1528
"enor",500,69.5304,30.1498
"enor",501,69.5295,30.1474
"enor",502,69.5276,30.1454
"enor",503,69.5263,30.1434
"enor",504,69.5252,30.1409
"enor",505,69.524,30.1336
"enor",506,69.5232,30.1311
"enor",507,69.5198,30.1257
"enor",508,69.5159,30.1217
"enor",509,69.5117,30.1192
"enor",510,69.5079,30.1179
"enor",511,69.5038,30.1175
"enor",512,69.503,30.117
"enor",513,69.5007,30.1169
"enor",514,69.4994,30.1162
"enor",515,69.494,30.1167
"enor",516,69.4839,30.1141
"enor",517,69.4801,30.1125
"enor",518,69.4787,30.1125
"enor",519,69.4773,30.1131
"enor",520,69.4752,30.1144
"enor",521,69.4716,30.1176
"enor",522,69.4691,30.1153
"enor",523,69.4668,30.1119
"enor",524,69.4657,30.1095
"enor",525,69.4539,30.0771
"enor",526,69.4477,30.0687
"enor",527,69.4466,30.067
"enor",528,69.4454,30.0646
"enor",529,69.4444,30.0631
"enor",530,69.4419,30.06
"enor",531,69.4345,30.0519
"enor",532,69.431,30.0469
"enor",533,69.4264,30.0383
"enor",534,69.4233,30.0316
"enor",535,69.4196,30.0213
"enor",536,69.4169,30.0133
"enor",537,69.4153,30.007
"enor",538,69.414,30
"enor",539,69.4138,29.999
"enor",540,69.4129,29.9963
"enor",541,69.4114,29.9893
